x y
0.5 0.009765625
0.498046875 0.01953125
0.48828125 0.056640625
0.482421875 0.083984375
0.478515625 0.095703125
0.4609375 0.16796875
0.443359375 0.236328125
0.376953125 0.501953125
0.2421875 1.04296875
x y
0.50390625 0.009765625
0.505859375 0.01953125
0.513671875 0.052734375
0.521484375 0.08203125
0.525390625 0.095703125
0.54296875 0.166015625
0.560546875 0.236328125
0.626953125 0.501953125
0.76171875 1.04296875
x y p
0.5 0.00390625 2.8919621821120272e-18
0.5 0.04296875 4.9111382080778054e-15
0.5 0.091796875 7.322381441823166e-14
0.5 0.205078125 2.704175895986111e-11
0.5 0.90234375 0.00011928336094169358
x y p
0.5 0.001953125 -2.2000718603953154e-18
0.5 0.013671875 -2.980625463950787e-16
0.5 0.06640625 -7.412550225267358e-16
0.5 0.150390625 -5.718324553214345e-12
0.5 0.43359375 -1.0635562788977475e-07
0.5 1.802734375 -0.08515636000236401
