x y
0.5 0.0025
0.5 0.003
0.4995 0.0055
0.4975 0.0125
0.4935 0.029500000000000002
0.465 0.14300000000000002
0.4385 0.2495
0.3785 0.4895
0.23650000000000002 1.0575
x y
0.501 0.0025
0.501 0.003
0.5015000000000001 0.0055
0.5035000000000001 0.0125
0.5075000000000001 0.029
0.536 0.14250000000000002
0.5625 0.2495
0.623 0.4905
0.7635 1.0535
x y p
0.5 0.001 1.8173696993444067e-28
0.5 0.005 1.751080977633867e-24
0.5 0.024 1.0386270994688212e-18
0.5 0.2215 1.7550672899685324e-10
0.5 0.906 0.00012498638384274237
x y p
0.5 0.002 -9.130622162776479e-27
0.5 0.0105 -1.1576263785173157e-21
0.5 0.1105 -2.6165319891642897e-13
0.5 0.4285 -8.870341415036511e-08
0.5 1.8025 -0.08472997005277422
